Job Position,Company,Location,Job Type,Posted Date,Key Skills,Salary
Principal AI or ML Engineer,Optum,"Hyderabad G.P.O., Hyderabad, Telangana",Full-time,Employer Active 4 days ago,Ai,675903
Data Scientist,Accusaga,"Madhapur, Hyderabad, Telangana",Full-time,Employer Active 6 days ago,Machine Learning,787619
"Data Scientist, India - BCG X",Boston Consulting Group,"Gurugram, Haryana",Full-time,PostedPosted 30+ days ago,Data Analysis,300411
Data Scientist Intern,Indian School of Business,"Hyderabad, Telangana",Full-time,PostedPosted 30+ days ago,Data science,571066
Data Scientist Intern,SoulPage IT Solutions,"Hyderabad, Telangana",Full-time,PostedPosted 30+ days ago,Git,617138
Data Scientists/Data Analysts,DPR Solutions,"Hyderabad, Telangana",Full-time,PostedPosted 6 days ago,Python,664850
Data Scientist,BlobCity,Remote,Full-time,Employer Active 7 days ago,Statistics,603665
Data Scientist,Accusaga,"Hyderabad, Telangana",Full-time,Employer Active 6 days ago,PowerShell,659452
Data Science Intern,Lincode,Remote,Full-time,Employer Active 6 days ago,PowerShell,325321
"Data Scientist, Product, Support Platform, Ads",Google,"Hyderabad, Telangana",Full-time,PostedJust posted,Python,615344
Data Scientist I A - GBS IND,Bank of America,"Hyderabad, Telangana",Full-time,PostedJust posted,Data science,987069
Junior Data Scientist,Risk Edge Solutions,"Hyderabad, Telangana",Full-time,PostedPosted 30+ days ago,R,732960
Machine Learning Interns,DeepEdge,"Hyderabad, Telangana",Full-time,PostedPosted 30+ days ago,SQL,836886
Staff Machine Learning Engineer,Uber,"Hyderabad, Telangana",Full-time,PostedPosted 20 days ago,AWS,963886
Data Scientist,Gururo,Remote,Full-time,PostedPosted 30+ days ago,Python,302414
Staff Machine Learning Engineer,Uber,"Hyderabad, Telangana",Full-time,PostedPosted 20 days ago,Statistics,353182
"Senior Associate, Data Scientist, Data Chapter",DBS Bank,"Hyderabad, Telangana",Full-time,PostedPosted 5 days ago,Azure,607578
Jr Data Analyst | Jr Data Scientist,AIBridge ML,"Hyderabad, Telangana",Full-time,PostedPosted 30+ days ago,Python,998061
Machine Learning Engineer,Apple,"Hyderabad, Telangana",Full-time,PostedPosted 2 days ago,Git,697870
Data Scientist I B - GBS IND,Bank of America,"Hyderabad, Telangana",Full-time,PostedPosted 4 days ago,Data Analysis,881785
Data Scientist,ANZ Banking Group,"Bengaluru, Karnataka",Full-time,PostedPosted 27 days ago,R,858792
Data Scientist 2,Microsoft,"Hyderabad, Telangana",Full-time,PostedPosted 22 days ago,Machine Learning,724083
Data Scientist,Amgen,"Hyderabad, Telangana",Full-time,PostedPosted 9 days ago,A/B testing,524836
Manager - Senior Data Scientist,Deloitte,"Hyderabad, Telangana",Full-time,PostedPosted 1 day ago,PowerShell,788830
Junior Data Scientist,Soothsayer Analytics,"Hyderabad, Telangana",Full-time,PostedPosted 30+ days ago,SQL,869873
Data Visualization Analytics- Associate Sr.,JPMorgan Chase & Co,"Hyderabad, Telangana",Full-time,PostedPosted 5 days ago,PowerShell,989759
Data Engineer I (R-16682),Dun & Bradstreet,"Hybrid work in Hyderabad, Telangana",Full-time,PostedPosted 1 day ago,Azure,983848
"Senior Data Scientist, Product, Support Platform, Ads",Google,"Hyderabad, Telangana",Full-time,PostedJust posted,Data Analysis,601450
Machine Learning Intern,deepedge.ai,"Madhapur, Hyderabad, Telangana",Full-time,Employer Active 2 days ago,Azure,417038
Data Scientist,Mapmygenome,"Hyderabad, Telangana",Full-time,PostedPosted 30+ days ago,Natural Language Processing,694505
AI/ML Engineer,VAYUZ Technologies Private Limited,Remote,Full-time,Employer Active 20 days ago,GitLab,345573
Data Scientist,Siemens Energy,"Remote in Gurugram, Haryana",Full-time,PostedPosted 19 days ago,GitHub,681369
Group Audit Data Scientist,Deutsche Bank,"Mumbai, Maharashtra",Full-time,PostedJust posted,PowerShell,953275
Data Science Trainer,ONLEI Technologies,Remote,Full-time,PostedPosted 30+ days ago,Data Analysis,732709
Junior Data Scientist,Cravita Technologies India,"Shivajinagar, Pune, Maharashtra",Full-time,PostedPosted 30+ days ago,GitLab,738626
Data Scientist - Remote,Promptcloud,"Remote in Bengaluru, Karnataka",Full-time,Employer Active 10 days ago,Natural Language Processing,630950
"Data Analytics (SAS,SQL) - Associate",JPMorgan Chase & Co,"Hyderabad, Telangana",Full-time,PostedPosted 9 days ago,Data science,621009
"Data Analytics - Associate (SQL, Tableau & Altryex)",JPMorgan Chase & Co,"Hyderabad, Telangana",Full-time,PostedPosted 9 days ago,SQL,320831
Data Science Intern,Digantara,"Bengaluru, Karnataka",Full-time,PostedJust posted,AWS,364506
Data Scientist,OrangeSiri India Private Limited,Remote,Full-time,Employer Active 2 days ago,Machine Learning,951612
Data Scientist / Senior Data Scientist,Five Exceptions Software Solutions Pvt Ltd,"Gachibowli, Hyderabad, Telangana",Full-time,Employer Active 4 days ago,PowerShell,488719
ML Engineer,Codash Solutions,Remote,Full-time,Employer Active 4 days ago,Natural Language Processing,984049
Junior Data Scientist,Other Side Consulting,"Bengaluru, Karnataka",Full-time,Employer Active 3 days ago,Statistics,312309
Intern-Data Scientist,Lilly,"Bengaluru, Karnataka",Full-time,PostedPosted 14 days ago,Natural Language Processing,993666
AI / ML Engineer,Accenture,"Hyderabad, Telangana",Full-time,PostedPosted 30+ days ago,Natural Language Processing,431488
Data Scientist,IDFC FIRST Bank,"Mumbai, Maharashtra",Full-time,PostedPosted 29 days ago,PowerShell,322513
DATA Analytics Trainer,IIM SKILLS,Remote,Part-time,Employer Active 4 days ago,Data mining,705243
Junior Data Scientist,Innovecture,"Remote in Pune, Maharashtra",Full-time,PostedPosted 13 days ago,GitHub,649330
ML Engineer,Electronic Arts,"Hyderabad, Telangana",Full-time,PostedPosted 30+ days ago,Ai,800357
Software Engineer (AI/ML),Infor,"Hyderabad, Telangana",Full-time,PostedPosted 15 days ago,A/B testing,398690
Data Insight Analyst,Prezent.ai,Remote,Full-time,PostedPosted 4 days ago,Natural Language Processing,670816
Expert Data Science,Novartis,"Hyderabad, Telangana",Full-time,PostedPosted 18 days ago,AWS,704662
Data Science,Proyouth.in,Remote,Full-time,Employer Active 4 days ago,PowerShell,690611
Data Scientist,Optum,"Gurugram, Haryana",Full-time,PostedJust posted,Natural Language Processing,738584
IT Trainee/Assistant Engineer in AI/ML,Bhoruka Extrusions,"Mysuru, Karnataka",Fresher,PostedJust posted,Git,425994
Data Science,Globussoft Technologies,"Koramangala, Bengaluru, Karnataka",Full-time,PostedPosted 30+ days ago,Power BI,633238
